fold,feature,feature_group,std_coef,mean_abs_shap,mean_shap,perm_mae_increase,n_val
2,clouds_all_valencia_lag_168,historical_weather,2.9555101544140463,2.128604361872877,-0.17879008664285373,0.827674906804396,2980
2,clouds_all_valencia_lag_24,historical_weather,7.4981686502045495,5.376795840536615,-0.4292098560877908,4.060395188886562,2980
2,day_of_month,calendar,17.40827172540332,14.456767859551427,-0.04419115549536799,14.350975146845737,2980
2,day_of_week,calendar,-0.7390863147497051,0.6346400187446326,0.010800456777010083,0.011959811903827777,2980
2,day_of_year,calendar,-204.47587047712886,196.94295638446957,196.94295638446957,72.19274450418965,2980
2,day_of_year_cos,calendar,1.2072691547356833,0.8379337309126924,0.31275762448023464,0.10617055734591663,2980
2,day_of_year_sin,calendar,1.3465395044100659,1.5229779011020073,1.5229779011020073,-0.05583139042986218,2980
2,dow_cos,calendar,-0.21697723392231583,0.19743690926412186,-0.0027462188840620978,0.014334637699231045,2980
2,dow_sin,calendar,-0.12231452829699399,0.10800573345863276,-0.0021644364966098132,0.007180178656014391,2980
2,forecast_solar_day_ahead,day_ahead_forecast,-1.3342998486696553,1.1053805399199295,0.08271311488698388,0.24234134179061328,2980
2,forecast_solar_share_of_load,day_ahead_forecast,-1.7636733802576368,1.4741081744398652,0.09739814777884936,0.4302287740340329,2980
2,forecast_wind_onshore_day_ahead,day_ahead_forecast,0.5107810646036182,0.39914012406654936,0.05563680546381688,0.0602635394112232,2980
2,forecast_wind_share_of_load,day_ahead_forecast,-7.300725589549768,5.672032252662076,-0.6333485378521144,3.536572164958897,2980
2,fossil_generation_lag_168,historical_generation,-1.4386103000027066,1.2315209080550815,-0.02543709478414303,0.11779058458282154,2980
2,fossil_generation_lag_24,historical_generation,-3.7145841366077965,3.176887187283572,0.011806220943088013,1.3369297636348252,2980
2,fraction_high_price_last_14d,diğer,-1.6298164920993556,1.2836157979795522,0.1118493016363442,0.11214731466114358,2980
2,fraction_high_price_last_30d,diğer,2.80355774909777,1.7976945102570174,-0.43841850451735925,0.3980375954080353,2980
2,fraction_high_price_last_7d,diğer,0.9167013718520264,0.8188944688701447,0.021519208487714454,0.20918464233123046,2980
2,generation_biomass_lag_168,historical_generation,-0.26626938631937475,0.32201340848676185,0.32201340848676185,0.012033123259051592,2980
2,generation_biomass_lag_24,historical_generation,-1.869769517719632,2.2550969491771626,2.2550969491771626,0.1874648747118517,2980
2,generation_fossil_brown_coal_lignite_lag_168,historical_generation,-0.1481140259634342,0.09911425831511352,-0.02086606402029792,-0.011563372824519469,2980
2,generation_fossil_brown_coal_lignite_lag_24,historical_generation,0.14905443988576153,0.09582044598471325,0.015365054178489119,-0.0014686712552887116,2980
2,generation_fossil_gas_lag_168,historical_generation,-1.668461327822078,1.4742359653630916,-0.52641706086805,0.33981886026560826,2980
2,generation_fossil_gas_lag_24,historical_generation,-4.204185151377119,3.716077995017102,-1.20145531647858,2.353341702753238,2980
2,generation_fossil_hard_coal_lag_168,historical_generation,-1.6182272005086609,1.290910479479785,0.40645788709931785,0.10621121983475756,2980
2,generation_fossil_hard_coal_lag_24,historical_generation,-5.102339643994708,4.056298856299268,1.3176970578117164,1.62724013034539,2980
2,generation_fossil_oil_lag_168,historical_generation,0.11829172780282848,0.07002418967285576,-0.04568720389516919,-0.0014939550745332042,2980
2,generation_fossil_oil_lag_24,historical_generation,-0.36848728057824637,0.2175487834948497,0.1467736194902608,0.023763027747956578,2980
2,generation_hydro_pumped_storage_consumption_lag_168,historical_generation,-0.31439942185329905,0.2319841497924696,0.021170849832727857,0.01984277484645247,2980
2,generation_hydro_pumped_storage_consumption_lag_24,historical_generation,-0.22928795465162913,0.16810377555923828,0.017736240973913783,-0.003814416515026231,2980
2,generation_hydro_run_of_river_and_poundage_lag_168,historical_generation,-0.5545072699595122,0.37923557618793136,0.08340117636455466,0.11309899757928843,2980
2,generation_hydro_run_of_river_and_poundage_lag_24,historical_generation,-5.8856647763719305,3.80052184561767,0.448997300210469,2.328839445255949,2980
2,generation_hydro_water_reservoir_lag_168,historical_generation,-5.591227531794883,4.377961489853873,2.7884934552611034,1.6540690278341623,2980
2,generation_hydro_water_reservoir_lag_24,historical_generation,-21.49288044944877,16.404729664872587,10.205325387308598,11.588863238448418,2980
2,generation_nuclear_lag_168,historical_generation,-0.8745479796829074,0.7641535602381127,-0.4099052156436189,0.06484566751436294,2980
2,generation_nuclear_lag_24,historical_generation,-3.1307079204306154,2.819310798920485,-1.3242782777419604,0.6306986635899898,2980
2,generation_other_lag_168,historical_generation,-0.11840189809467574,0.11563901919138891,0.11552232805183282,0.018016634012464117,2980
2,generation_other_lag_24,historical_generation,-0.493452357709677,0.47096596365374715,0.4703897972810353,0.05137300819156998,2980
2,generation_other_renewable_lag_168,historical_generation,-0.8751863984353886,1.7796665412747703,-1.7756068966725078,0.008457346727990256,2980
2,generation_other_renewable_lag_24,historical_generation,0.06123686259034352,0.12180499063674163,0.12150488391175894,0.0039954307574294745,2980
2,generation_solar_lag_168,historical_generation,-5.3293830811505165,4.343329234201482,0.43333168643973496,2.264867577198678,2980
2,generation_solar_lag_24,historical_generation,-16.475667587740215,13.487198240416584,1.1861864111374834,12.625690691950158,2980
2,generation_waste_lag_168,historical_generation,0.03074627698476302,0.03441678020906207,0.0341681573664229,0.0013172369623548619,2980
2,generation_waste_lag_24,historical_generation,-0.48554518862551094,0.516024290480536,-0.511827999427552,-0.0021671147745454533,2980
2,generation_wind_onshore_lag_168,historical_generation,-9.364124820044003,7.448210466561787,-1.4298100972395937,6.041314815236574,2980
2,generation_wind_onshore_lag_24,historical_generation,-33.345772383651585,26.096816867838516,-3.7634566496792514,30.14742866522856,2980
2,hour,calendar,-0.06992659437589879,0.06061919942775944,8.248112567979452e-05,0.00020362912073945694,2980
2,hour_cos,calendar,-0.6227647534686491,0.5571430905617475,-0.0003364030754434077,-0.005448809486270356,2980
2,hour_sin,calendar,-0.8643361852016251,0.7741812319090353,-0.0014340568282776088,0.0417946835369678,2980
2,humidity_barcelona_lag_168,historical_weather,-0.38608632363739764,0.3701065941698064,0.021030142908301852,0.02613018177941928,2980
2,humidity_barcelona_lag_24,historical_weather,-0.9153290761519169,0.8885593278430975,0.10225560658012738,0.12298955646909437,2980
