rank_mean_abs_shap,feature,feature_group,mean_abs_shap,std_abs_shap,mean_shap,mean_std_coef,std_std_coef,mean_abs_std_coef,direction,n_folds_pos_coef,n_folds_neg_coef,mean_perm_mae_increase,std_perm_mae_increase
106,generation_fossil_brown_coal_lignite_lag_24,historical_generation,0.24129132200109438,0.14684179909117248,-0.017353403777186596,-0.14067052404376848,0.2989193853625949,0.2954281486092126,0,2,2,-0.006160670358859255,0.06315711090667585
107,pressure_bilbao_lag_24,historical_weather,0.23598418610095612,0.0426836049201735,-0.0016112220578147571,0.3468497666337358,0.11842196479072502,0.3468497666337358,+,4,0,0.0223076083864171,0.03532006402360273
108,price_min_lag24_lag48_lag168,historical_target,0.2321437854639523,0.08669258480382219,-0.1290074761599082,-0.30019531192720295,0.09709107378221075,0.30019531192720295,-,0,4,0.0032658034177399653,0.042166008005500064
109,pressure_bilbao_lag_168,historical_weather,0.22515026958556722,0.061073669965365146,0.0011467276156569405,0.3263324980153649,0.12363823704371173,0.3263324980153649,+,4,0,0.017917134653470335,0.03882639307211757
110,generation_other_lag_168,historical_generation,0.21917066457099335,0.10516928055984064,0.20373584402780934,-0.2701223726004138,0.1223301097317943,0.2701223726004138,-,0,4,0.005085032856845029,0.01737447965129842
111,generation_fossil_brown_coal_lignite_lag_168,historical_generation,0.21249299242131564,0.1635982876090556,-0.023256867309988716,-0.2561896792419891,0.1881805741126268,0.2561896792419891,-,0,4,0.03422001569942856,0.05458495790862942
112,wind_deg_cos_madrid_lag_24,historical_weather,0.2089352442579679,0.020360635457449174,0.030202397143727244,0.2184894782636961,0.02140985185626219,0.2184894782636961,+,4,0,0.006512016428117828,0.012271971449653689
113,pressure_seville_lag_24,historical_weather,0.20454926760435074,0.07897951576313508,0.07108724547760341,-0.25993687251774833,0.09370618142658303,0.25993687251774833,-,0,4,0.025936781920971264,0.032697704049743564
114,generation_hydro_pumped_storage_consumption_lag_168,historical_generation,0.20373921782641746,0.03909638091536734,0.03497956349170792,-0.2897088263640178,0.047413571399296,0.2897088263640178,-,0,4,0.0031174519487109364,0.016910868549935853
115,is_month_start,calendar,0.19335408945023388,0.0675575827909173,-0.003854538060462492,0.5474514987819674,0.19128037875885914,0.5474514987819674,+,4,0,0.030332199919665737,0.08723145411771831
116,temp_bilbao_lag_168,historical_weather,0.1831466339510649,0.11796116110593895,-0.023590184420525462,-0.02312063094130601,0.28090863896053786,0.233236772908618,-,1,3,0.01703154106693816,0.015030823967574328
117,generation_fossil_oil_lag_24,historical_generation,0.17821800387862927,0.05631995110012234,0.04292355170619997,-0.21344451240269946,0.2064729167816989,0.2823929177415173,-,1,3,0.010300855293039257,0.013759979374858003
118,rain_1h_national_max_lag_168,weather_aggregate,0.172530377061748,0.03689888844118141,0.09306603844902679,-0.4986124135250031,0.10891199548458708,0.4986124135250031,-,0,4,0.007287970543817801,0.007324281831625099
119,generation_fossil_oil_lag_168,historical_generation,0.1631011853765536,0.05882584738064988,-0.08243421711064462,0.24840388380288259,0.078876030993893,0.24840388380288259,+,4,0,-0.013854573731187703,0.007158932293398002
120,temp_bilbao_lag_24,historical_weather,0.14842280856608303,0.1253416518022257,-0.02060378155989067,0.11496628680584697,0.2177391867671003,0.18624990510457357,+,3,1,0.007598973426217848,0.016556543434690693
121,load_forecast_error_lag_24,historical_load,0.1422752192395066,0.015344440128475044,0.002197656197302797,0.22322652709541266,0.015708786201125795,0.22322652709541266,+,4,0,-0.003905933827693442,0.009200530258309417
122,generation_hydro_pumped_storage_consumption_lag_24,historical_generation,0.13236592034095065,0.05054736026745888,0.01640730311748641,-0.1831430222859489,0.06245829504559293,0.1831430222859489,-,0,4,0.002766230438754347,0.010231303565213139
