feature,feature_group,coefficient,abs_coefficient
forecast_solar_day_ahead,day_ahead_forecast,-2.735152387593504,2.735152387593504
fraction_high_price_last_30d,diğer,2.5097476234923985,2.5097476234923985
generation_fossil_hard_coal_lag_168,historical_generation,-2.496220645693872,2.496220645693872
forecast_wind_onshore_day_ahead,day_ahead_forecast,2.4719462307140896,2.4719462307140896
humidity_national_mean_lag_24,weather_aggregate,2.3881094430005274,2.3881094430005274
wind_speed_seville_lag_168,historical_weather,2.094881056797174,2.094881056797174
price_max_lag24_lag48_lag168,historical_target,-2.0802307668768627,2.0802307668768627
wind_speed_madrid_lag_168,historical_weather,2.0777880672852245,2.0777880672852245
wind_speed_barcelona_lag_168,historical_weather,2.038656660922921,2.038656660922921
wind_speed_bilbao_lag_168,historical_weather,1.85384461975694,1.85384461975694
generation_biomass_lag_24,historical_generation,-1.7299846577962836,1.7299846577962836
temp_seville_lag_24,historical_weather,-1.6007789816090403,1.6007789816090403
humidity_seville_lag_24,historical_weather,-1.3169760205768257,1.3169760205768257
generation_hydro_run_of_river_and_poundage_lag_168,historical_generation,-1.3094846226245898,1.3094846226245898
humidity_seville_lag_168,historical_weather,-1.165071809527731,1.165071809527731
forecast_solar_share_of_load,day_ahead_forecast,-1.1235205734583786,1.1235205734583786
fraction_high_price_last_14d,diğer,-1.095906145266679,1.095906145266679
price_min_lag24_lag48_lag168,historical_target,-1.0861563203314208,1.0861563203314208
price_day_ahead_lag_168,historical_target,-1.0090668290016271,1.0090668290016271
renewable_forecast_total,day_ahead_forecast,0.9956891676104277,0.9956891676104277
price_std_lag24_lag48_lag168,historical_target,0.9563621879367187,0.9563621879367187
month_cos,calendar,0.9552352911834007,0.9552352911834007
humidity_madrid_lag_24,historical_weather,-0.9536239416131974,0.9536239416131974
humidity_valencia_lag_24,historical_weather,-0.9504339092908513,0.9504339092908513
temp_madrid_lag_168,historical_weather,0.9461061021643724,0.9461061021643724
generation_nuclear_lag_168,historical_generation,-0.9428135989128902,0.9428135989128902
humidity_madrid_lag_168,historical_weather,-0.8572808915104942,0.8572808915104942
generation_fossil_brown_coal_lignite_lag_168,historical_generation,-0.8445735786281363,0.8445735786281363
humidity_valencia_lag_168,historical_weather,-0.8355830972431442,0.8355830972431442
generation_biomass_lag_168,historical_generation,-0.8236390940629122,0.8236390940629122
week_of_year,calendar,-0.8197195799487492,0.8197195799487492
fossil_generation_lag_24,historical_generation,-0.8107349340886253,0.8107349340886253
day_of_week,calendar,-0.7852559961160694,0.7852559961160694
is_month_start,calendar,0.782562441257373,0.782562441257373
fossil_generation_lag_168,historical_generation,-0.7228724020661401,0.7228724020661401
total_load_actual_lag_168,historical_load,-0.704735153765739,0.704735153765739
generation_waste_lag_24,historical_generation,-0.6650729172600349,0.6650729172600349
temp_seville_lag_168,historical_weather,-0.6507745677978557,0.6507745677978557
hour_sin,calendar,-0.6375878679178937,0.6375878679178937
pressure_seville_lag_24,historical_weather,-0.6314461905901445,0.6314461905901445
humidity_barcelona_lag_168,historical_weather,-0.62620758723049,0.62620758723049
fraction_high_price_last_7d,diğer,0.6105289891951786,0.6105289891951786
temp_national_mean_lag_168,weather_aggregate,0.5969986144303512,0.5969986144303512
renewable_share_lag_168,historical_generation,0.5801737577913555,0.5801737577913555
pressure_madrid_lag_24,historical_weather,-0.5773506826822529,0.5773506826822529
generation_fossil_brown_coal_lignite_lag_24,historical_generation,-0.5738911853040644,0.5738911853040644
temp_barcelona_lag_168,historical_weather,-0.5721809801156342,0.5721809801156342
temp_valencia_lag_168,historical_weather,-0.5054919180941613,0.5054919180941613
rain_1h_national_max_lag_168,weather_aggregate,-0.46690685861674835,0.46690685861674835
generation_other_renewable_lag_168,historical_generation,-0.45711875837833804,0.45711875837833804
is_year_start,calendar,-0.4488458826666981,0.4488458826666981
humidity_bilbao_lag_168,historical_weather,-0.4394923387107308,0.4394923387107308
generation_fossil_oil_lag_24,historical_generation,-0.4326759079177236,0.4326759079177236
humidity_barcelona_lag_24,historical_weather,-0.42620094660435415,0.42620094660435415
