model,family,fold,n_trees,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std,num_leaves,min_child_samples
XGB_d4_lr0.1_ss0.8,XGBoost,4,20,4.0,0.1,0.8,0.8,1.0,7.11798232804407,9.070227391600906,0.5525658466502981,16.195116005641637,-4.232082913326269,-4.232082913326269,8.022374907100716,,
XGB_d4_lr0.1_ss1.0,XGBoost,4,20,4.0,0.1,1.0,0.8,1.0,7.154911556759051,9.10453002365388,0.5491751506875038,16.2339777693501,-4.314701578069545,-4.314701578069545,8.017220044617652,,
XGB_d6_lr0.05_ss0.8,XGBoost,4,24,6.0,0.05,0.8,0.8,1.0,7.662698072469629,9.695716448205136,0.4887273120275264,16.838060547291494,-4.589286082856028,-4.589286082856028,8.540806208649133,,
XGB_d6_lr0.05_ss1.0,XGBoost,4,26,6.0,0.05,1.0,0.8,1.0,7.573679401619764,9.587795262340698,0.5000457270910349,16.76110896569497,-4.6259950880675555,-4.6259950880675555,8.397975198685549,,
XGB_d6_lr0.1_ss0.8,XGBoost,4,20,6.0,0.1,0.8,0.8,1.0,7.006736419234894,8.908951563786296,0.5683358547480662,15.893423226603831,-4.3309495867348575,-4.3309495867348575,7.78538975537201,,
XGB_d6_lr0.1_ss1.0,XGBoost,4,20,6.0,0.1,1.0,0.8,1.0,7.119343161017398,9.037567459741508,0.5557822730740105,16.1565842610786,-4.47872948661744,-4.47872948661744,7.849752083670035,,
XGB_d8_lr0.05_ss0.8,XGBoost,4,25,8.0,0.05,0.8,0.8,1.0,7.502750900580847,9.525566281889821,0.5065145094842527,16.55689701443352,-4.533226901615771,-4.533226901615771,8.377724443376218,,
XGB_d8_lr0.05_ss1.0,XGBoost,4,28,8.0,0.05,1.0,0.8,1.0,7.4542519862202665,9.440717405567536,0.5152667877873125,16.557649903530407,-4.664303055219133,-4.664303055219133,8.208009633331292,,
XGB_d8_lr0.1_ss0.8,XGBoost,4,20,8.0,0.1,0.8,0.8,1.0,6.938637695165313,8.886242936655641,0.5705336457952994,15.774474859324247,-4.188349309005186,-4.188349309005186,7.837285473620189,,
XGB_d8_lr0.1_ss1.0,XGBoost,4,20,8.0,0.1,1.0,0.8,1.0,6.993971104749076,8.995289377111012,0.5599286864749684,15.943983216403593,-4.318317178183205,-4.318317178183205,7.890967477221919,,
LGBM_nl15_lr0.05_ss0.8,LightGBM,4,22,,0.05,0.8,0.8,,7.8967522536443315,10.011646238905387,0.45486536933214683,17.297213386968508,-4.551550307069497,-4.551550307069497,8.917199684609734,15.0,20.0
LGBM_nl15_lr0.05_ss1.0,LightGBM,4,32,,0.05,1.0,0.8,,7.449996502665094,9.44355476344921,0.5149753759761273,16.66229204811059,-4.457528892755942,-4.457528892755942,8.325332590384017,15.0,20.0
LGBM_nl15_lr0.1_ss0.8,LightGBM,4,20,,0.1,0.8,0.8,,7.166327950452732,9.110594490762288,0.5485743677767996,16.287953246425275,-4.354719934250143,-4.354719934250143,8.002458763989514,15.0,20.0
LGBM_nl15_lr0.1_ss1.0,LightGBM,4,20,,0.1,1.0,0.8,,7.230231355196725,9.196216913861752,0.5400493949568458,16.414560693884216,-4.407193613592239,-4.407193613592239,8.071372248825398,15.0,20.0
LGBM_nl31_lr0.05_ss0.8,LightGBM,4,23,,0.05,0.8,0.8,,7.746986150156073,9.819833950859833,0.47555364706005865,17.056532660805,-4.619543003265283,-4.619543003265283,8.665388696616107,31.0,20.0
LGBM_nl31_lr0.05_ss1.0,LightGBM,4,28,,0.05,1.0,0.8,,7.48037972432201,9.48777621069302,0.5104222791996582,16.708158064418015,-4.569150310388806,-4.569150310388806,8.315092474847544,31.0,20.0
LGBM_nl31_lr0.1_ss0.8,LightGBM,4,20,,0.1,0.8,0.8,,6.946106816782062,8.876002938091808,0.5715228604797129,15.891468302827924,-4.23538913094091,-4.23538913094091,7.800314549203898,31.0,20.0
LGBM_nl31_lr0.1_ss1.0,LightGBM,4,20,,0.1,1.0,0.8,,6.921168810228149,8.856667078388226,0.5733876524914293,15.912110901428585,-4.196402210655467,-4.196402210655467,7.79940768416498,31.0,20.0
LGBM_nl63_lr0.05_ss0.8,LightGBM,4,24,,0.05,0.8,0.8,,7.597285360501108,9.613728818304756,0.49733746585745564,16.794166722360504,-4.634116003671499,-4.634116003671499,8.423108135149343,63.0,20.0
LGBM_nl63_lr0.05_ss1.0,LightGBM,4,25,,0.05,1.0,0.8,,7.616003929937246,9.633230406470927,0.49529608100245914,16.884310411678715,-4.645639233711556,-4.645639233711556,8.439026257475204,63.0,20.0
LGBM_nl63_lr0.1_ss0.8,LightGBM,4,107,,0.1,0.8,0.8,,6.218711660335806,8.234978769400756,0.6311772097365967,14.595714264502535,-3.7728567240797073,-3.7728567240797073,7.3198652632441075,63.0,20.0
LGBM_nl63_lr0.1_ss1.0,LightGBM,4,20,,0.1,1.0,0.8,,6.8260302630067695,8.749804175216708,0.5836203956138722,15.62998591797578,-4.231087267785312,-4.231087267785312,7.658784083457683,63.0,20.0
