fold,feature,coefficient,abs_coefficient
2,renewable_generation_lag_168,12.074151923194808,12.074151923194808
2,generation_wind_onshore_lag_168,-11.969999726238385,11.969999726238385
2,clouds_all_national_mean_lag_168,-11.209405972243216,11.209405972243216
2,clouds_all_bilbao_lag_24,10.147121689135867,10.147121689135867
2,price_day_ahead_lag_48,10.130102889622517,10.130102889622517
2,wind_speed_national_mean_lag_24,-9.021317664725379,9.021317664725379
2,clouds_all_madrid_lag_24,8.919403290216422,8.919403290216422
2,clouds_all_valencia_lag_24,8.1213648678446,8.1213648678446
2,clouds_all_seville_lag_24,7.783788014363578,7.783788014363578
2,clouds_all_barcelona_lag_24,7.742902063901775,7.742902063901775
2,price_mean_lag24_lag48_lag168,7.294376313052799,7.294376313052799
2,generation_hydro_water_reservoir_lag_168,-7.23958906577938,7.23958906577938
2,forecast_wind_share_of_load,-7.238350006383149,7.238350006383149
2,total_generation_lag_168,6.742127595693916,6.742127595693916
2,generation_solar_lag_168,-6.578151603278961,6.578151603278961
2,generation_hydro_run_of_river_and_poundage_lag_24,-6.190645286470069,6.190645286470069
2,generation_fossil_hard_coal_lag_24,-5.454325546245748,5.454325546245748
2,humidity_national_mean_lag_24,5.264538458159776,5.264538458159776
2,total_load_forecast,5.256363873626701,5.256363873626701
2,generation_fossil_gas_lag_24,-4.388310486883315,4.388310486883315
2,clouds_all_bilbao_lag_168,4.314464291096552,4.314464291096552
2,wind_speed_national_mean_lag_168,-4.208922537380423,4.208922537380423
2,fossil_generation_lag_24,-3.937112207227339,3.937112207227339
2,clouds_all_madrid_lag_168,3.7103457460473552,3.7103457460473552
2,clouds_all_valencia_lag_168,3.52226204559007,3.52226204559007
2,wind_speed_valencia_lag_24,3.4887864286361623,3.4887864286361623
2,generation_nuclear_lag_24,-3.3647404554260225,3.3647404554260225
2,total_load_actual_lag_24,-3.3447984828816657,3.3447984828816657
2,clouds_all_seville_lag_168,3.2780524010103314,3.2780524010103314
2,month_sin,-3.1830415577958484,3.1830415577958484
2,wind_speed_madrid_lag_24,3.139033241411244,3.139033241411244
2,clouds_all_barcelona_lag_168,3.0819822441014053,3.0819822441014053
2,renewable_share_lag_24,2.9900418168762415,2.9900418168762415
2,wind_speed_bilbao_lag_24,2.5830498874027583,2.5830498874027583
2,humidity_national_mean_lag_168,2.5603516673796007,2.5603516673796007
2,wind_speed_seville_lag_24,2.5207565740290425,2.5207565740290425
2,humidity_seville_lag_24,-2.5083970826536204,2.5083970826536204
2,wind_speed_barcelona_lag_24,2.4430655066482836,2.4430655066482836
2,total_load_actual_lag_168,-2.231660968456034,2.231660968456034
2,temp_seville_lag_24,-2.215019076942658,2.215019076942658
2,generation_fossil_gas_lag_168,-2.088038858208953,2.088038858208953
2,generation_biomass_lag_24,-1.8694186769970234,1.8694186769970234
2,forecast_solar_share_of_load,-1.8263210945331463,1.8263210945331463
2,generation_fossil_hard_coal_lag_168,-1.7581395702758453,1.7581395702758453
2,price_max_lag24_lag48_lag168,-1.7285014431847465,1.7285014431847465
2,fossil_generation_lag_168,-1.6623943751072263,1.6623943751072263
2,humidity_valencia_lag_24,-1.662016791610434,1.662016791610434
2,humidity_madrid_lag_24,-1.661436342723972,1.661436342723972
2,wind_speed_valencia_lag_168,1.6087487410329113,1.6087487410329113
2,day_of_year_cos,1.5470438160803035,1.5470438160803035
2,week_of_year,-1.4183390526993653,1.4183390526993653
2,wind_speed_seville_lag_168,1.225716956576142,1.225716956576142
2,forecast_solar_day_ahead,-1.2247261947517514,1.2247261947517514
2,humidity_bilbao_lag_24,-1.2148910664515749,1.2148910664515749
2,quarter,-1.1770125992418952,1.1770125992418952
2,wind_speed_madrid_lag_168,1.1579562423072223,1.1579562423072223
2,wind_speed_barcelona_lag_168,1.1548060877254778,1.1548060877254778
2,humidity_seville_lag_168,-1.1450168646792482,1.1450168646792482
2,temp_madrid_lag_168,1.1072250950222557,1.1072250950222557
2,humidity_barcelona_lag_24,-1.1049947716202515,1.1049947716202515
2,price_std_lag24_lag48_lag168,1.104355066781907,1.104355066781907
2,generation_nuclear_lag_168,-1.0336195514396804,1.0336195514396804
2,generation_hydro_run_of_river_and_poundage_lag_168,-0.9819519176049878,0.9819519176049878
2,generation_other_renewable_lag_168,-0.8804401597880217,0.8804401597880217
2,wind_speed_bilbao_lag_168,0.8437016454359793,0.8437016454359793
2,temp_barcelona_lag_168,-0.7774070106230322,0.7774070106230322
2,temp_national_mean_lag_24,0.7260742066383057,0.7260742066383057
2,day_of_week,-0.7119857371935558,0.7119857371935558
2,temp_seville_lag_168,-0.7117271031929725,0.7117271031929725
2,humidity_bilbao_lag_168,-0.68355340701699,0.68355340701699
2,temp_barcelona_lag_24,-0.6648777278502535,0.6648777278502535
2,pressure_bilbao_lag_168,0.6564167433774935,0.6564167433774935
2,rain_1h_national_max_lag_168,-0.6531376967978003,0.6531376967978003
2,pressure_bilbao_lag_24,0.6264992822318967,0.6264992822318967
2,humidity_barcelona_lag_168,-0.6114368847133408,0.6114368847133408
2,pressure_madrid_lag_24,-0.590522862388708,0.590522862388708
2,generation_waste_lag_24,-0.5732545394513856,0.5732545394513856
2,renewable_share_lag_168,-0.5661413178040875,0.5661413178040875
2,hour_sin,-0.5574389435076783,0.5574389435076783
2,rain_1h_barcelona_lag_168,0.5563032185990754,0.5563032185990754
2,month_cos,-0.5192657467716372,0.5192657467716372
2,generation_other_lag_24,-0.508962840041602,0.508962840041602
2,temp_valencia_lag_24,0.49706395016623406,0.49706395016623406
2,temp_bilbao_lag_168,-0.48797319977906345,0.48797319977906345
2,wind_deg_sin_madrid_lag_24,0.4470568318985553,0.4470568318985553
2,temp_national_mean_lag_168,0.43896717888011044,0.43896717888011044
2,forecast_wind_onshore_day_ahead,0.42511455720585367,0.42511455720585367
2,price_min_lag24_lag48_lag168,-0.4068434021004794,0.4068434021004794
2,humidity_madrid_lag_168,-0.39608849075804925,0.39608849075804925
2,hour_cos,-0.38429974852967086,0.38429974852967086
2,generation_biomass_lag_168,-0.3811514707072649,0.3811514707072649
2,humidity_valencia_lag_168,-0.36987080030157266,0.36987080030157266
2,pressure_seville_lag_24,-0.3477922185442326,0.3477922185442326
2,rain_1h_bilbao_lag_168,0.3381934513052157,0.3381934513052157
2,generation_fossil_brown_coal_lignite_lag_168,-0.3126697221118243,0.3126697221118243
