model,fold,n_rounds,reg_lambda,learning_rate,feature_selector,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std
gblin_1e-04_eta0p3_cyclic,2,10,0.0001,0.3,cyclic,8.35748429326563,10.293869955551058,0.5219000415306849,17.648500932367902,-7.218887713477115,-7.218887713477115,7.338352597279983
gblin_1e-04_eta0p3_shuffle,2,10,0.0001,0.3,shuffle,7.793190983996296,9.791251770681194,0.5674485349547891,16.277339121725724,-6.441316778733427,-6.441316778733427,7.374147367179129
gblin_1e-04_eta1p0_cyclic,2,35,0.0001,1.0,cyclic,7.656068688808672,9.225958201651238,0.6159530534359711,16.471402785124955,-6.573555257362007,-6.573555257362007,6.4735365926998565
gblin_1e-04_eta1p0_shuffle,2,10,0.0001,1.0,shuffle,7.287496320097238,8.992133533231884,0.6351731056368584,15.57639826400973,-6.157588319356009,-6.157588319356009,6.553058184451269
gblin_1e-03_eta0p1_cyclic,2,10,0.001,0.1,cyclic,9.001345024467314,11.413771230610156,0.4122134036729038,18.66829839352749,-7.590947150569635,-7.590947150569635,8.523596369019524
gblin_1e-03_eta0p1_shuffle,2,11,0.001,0.1,shuffle,8.765387557266543,11.15609839763916,0.4384531138514396,18.122458588729355,-7.1662971861666485,-7.1662971861666485,8.550012637262418
gblin_1e-03_eta0p3_cyclic,2,10,0.001,0.3,cyclic,8.357483730853803,10.29501176171824,0.521793973014333,17.6465746033708,-7.217878244412825,-7.217878244412825,7.3409468614579225
gblin_1e-03_eta0p3_shuffle,2,10,0.001,0.3,shuffle,7.795960926567949,9.795116706212513,0.5671069824097092,16.281844964008506,-6.443755043618632,-6.443755043618632,7.3771493292574
gblin_1e-03_eta1p0_cyclic,2,34,0.001,1.0,cyclic,7.662721965661785,9.235883621336964,0.615126282395008,16.482264678797748,-6.580298651010398,-6.580298651010398,6.4808345087952315
gblin_1e-03_eta1p0_shuffle,2,10,0.001,1.0,shuffle,7.296390284147838,9.00267246255891,0.6343174381856538,15.591995958054856,-6.167639266750156,-6.167639266750156,6.558074209961194
gblin_3e-03_eta0p1_cyclic,2,10,0.003,0.1,cyclic,9.00150860339683,11.415630310292336,0.4120219102410224,18.666415993850467,-7.589749318986931,-7.589749318986931,8.527151966289946
gblin_3e-03_eta0p1_shuffle,2,11,0.003,0.1,shuffle,8.766811190765175,11.159311670524659,0.43812958439184535,18.123540727042055,-7.1668174404681935,-7.1668174404681935,8.553769036799439
gblin_3e-03_eta0p3_cyclic,2,10,0.003,0.3,cyclic,8.357484593961061,10.297555557632888,0.521557623828257,17.642321616635304,-7.215642510190105,-7.215642510190105,7.3467103949777
